aX, aY, aZ, rX, rY, rZ
460, -100, 15420, 11865, 174, -185,
840, 1240, 15716, 10886, 113, -181,
632, 1108, 15700, 9985, 97, -161,
680, 1256, 16000, 9293, 72, -161,
680, 2964, 15820, 8223, 149, -146,
484, 5204, 15920, 6013, 72, -144,
712, 7108, 16128, 2796, 80, -105,
412, 6840, 16000, -616, -17, -100,
748, 5276, 16296, -3473, -81, -53,
688, 3272, 16216, -5151, -123, -47,
1076, 3400, 16132, -6576, 53, -1,
384, 2860, 15808, -8173, -122, -5,
