aX, aY, aZ, rX, rY, rZ
844, -7904, 14780, -9164, -18, 23,
480, -8384, 14628, -8128, -31, 12,
920, -8368, 14520, -7404, 50, 27,
816, -8392, 14308, -6776, 0, -17,
652, -10192, 14388, -5411, 6, -18,
684, -13048, 14288, -2850, 24, -36,
1268, -15576, 14580, 1327, 219, -77,
1360, -15204, 14584, 5913, 390, -119,
8, -10656, 14020, 8586, 226, -97,
128, -10604, 13968, 10436, -138, -186,
1220, -11512, 14424, 13177, -57, -222,
780, -10708, 14432, 15742, 73, -206,
848, -9236, 13960, 17990, 205, -228,
-440, -7048, 13584, 19769, 100, -228,
1072, -5924, 14236, 20826, 220, -249,
1012, -4884, 14036, 21879, 410, -263,
408, -2584, 13972, 22295, 359, -236,
744, -712, 14012, 22032, 371, -235,
792, 936, 14140, 21256, 287, -243,
332, 2276, 14320, 20157, 288, -203,
672, 2868, 14556, 18994, 215, -217,
428, 3172, 14796, 18125, 319, -215,
1224, 4112, 14568, 17072, 81, -248,
280, 4872, 14852, 16052, 204, -225,
840, 5972, 14892, 14960, 267, -164,
372, 8524, 14808, 12765, 266, -160,
312, 10720, 15152, 9509, 128, -117,
812, 11072, 15432, 6003, 198, -110,
304, 11184, 14852, 2586, 76, -65,
912, 11392, 15336, -963, 25, -80,
484, 10964, 15272, -4333, -8, -32,
548, 9692, 15124, -7226, 48, -32,
380, 8612, 15072, -9594, -115, 3,
868, 7664, 15412, -11673, -35, 26,
92, 5900, 15216, -13197, -197, 8,
716, 6744, 15508, -14898, 3, 39,
544, 7060, 14812, -17186, -105, 70,
556, 6636, 14408, -19683, -104, 93,
908, 4680, 14308, -21855, -51, 104,
696, -1688, 14588, -21272, -140, 106,
112, 1104, 14532, -21638, -27, 145,
740, 1356, 14296, -23024, -216, 98,
64, -1552, 13716, -23734, -311, 93,
920, -3804, 13748, -23537, -315, 112,
808, -5972, 13652, -22479, -223, 121,
1096, -6660, 14008, -21300, -72, 105,
76, -10464, 13304, -19203, -365, 73,
1108, -10624, 14300, -16432, 130, 111,
608, -9512, 13964, -14594, -62, 106,
460, -9376, 13580, -13214, -116, 42,
892, -11840, 14304, -11212, -132, 5,
1076, -14800, 14360, -7793, 64, 20,
428, -15236, 13832, -3591, 80, -24,
844, -14132, 14220, 29, 53, -87,
720, -13520, 14232, 3133, 108, -89,
576, -13328, 13968, 6117, 30, -117,
876, -13500, 14080, 9385, 107, -156,
784, -12676, 14104, 12446, 132, -185,
776, -11964, 13784, 15088, 262, -186,
824, -10868, 13760, 18091, 257, -243,
1028, -9552, 13656, 20376, 311, -225,
-80, -7512, 12976, 22177, 172, -271,
1132, -5696, 13608, 23303, 254, -284,
476, -4236, 13680, 24039, 201, -302,
704, -2500, 13592, 24342, 307, -320,
448, -712, 13676, 24122, 166, -304,
900, -836, 14180, 24201, 391, -295,
604, 336, 13668, 24381, 420, -284,
448, 3180, 13556, 23784, 386, -262,
404, 5420, 13728, 22293, 233, -268,
676, 5596, 13912, 20820, 189, -242,
680, 5112, 13836, 20038, 181, -265,
920, 5552, 14020, 19614, 290, -230,
400, 6648, 13376, 19124, 301, -238,
784, 7456, 13500, 18479, 246, -227,
804, 8356, 13504, 17770, 335, -205,
632, 10212, 12944, 16497, 297, -196,
52, 11776, 12820, 14532, 133, -156,
988, 11948, 13024, 12549, 194, -170,
624, 12148, 12916, 10716, 260, -131,
252, 12696, 12660, 8765, 93, -133,
696, 12560, 12876, 6932, 110, -137,
644, 11672, 12744, 5690, 189, -123,
